Deal_id,Deal_date,First_deal_date,Secret_dwarf_info_1,Secret_dwarf_info_2,Secret_dwarf_info_3,First_default_date,Successful_deals_count,Region,Tavern,Hashed_deal_detail_1,Hashed_deal_detail_2,Hashed_deal_detail_3,Hashed_deal_detail_4,Hashed_deal_detail_5,Hashed_deal_detail_6,Age,Gender,Default
22487461,2015-11-05,2015-08-29,,,,,0.0,Tavern_district_3,7,2.5,-3,8,2.5,-3,5,36.0,Male,0
62494261,2016-08-26,2015-12-21,3.5,-2.0,5.0,2016-07-30,2.0,Tavern_district_4,7,2.5,-3,14,3.5,-3,5,29.0,Female,1
34822849,2016-02-18,2015-11-11,,,,,0.0,Tavern_district_6,7,2.5,-3,8,2.5,-3,5,56.0,Female,0
46893387,2016-04-30,2016-03-22,,,,,0.0,Tavern_district_2,13,2.5,-2,5,2.5,-3,5,27.0,Female,0
67128275,2016-09-19,2016-07-21,,,,,0.0,Tavern_district_4,39,2.5,-3,7,2.5,-3,5,37.0,Female,0
48428029,2016-05-10,2015-10-11,,,,,4.0,Tavern_district_4,7,2.5,-3,15,2.5,-3,5,43.0,Female,1
62090370,2016-08-24,2016-05-26,,,,,0.0,Tavern_district_3,39,2.5,-3,8,2.5,-3,5,22.0,Male,0
63245820,2016-08-30,2015-11-05,,,,,1.0,Tavern_district_3,7,2.5,-3,15,2.5,-3,5,20.0,Female,0
59697977,2016-08-07,2015-10-18,,,,,3.0,Tavern_district_3,13,2.5,-1,12,2.5,-3,5,58.0,Female,0
34816218,2016-02-18,2015-08-14,,,,,0.0,Tavern_district_5,17,2.5,-3,10,2.5,-3,5,50.0,Female,0
34689792,2016-02-17,2016-01-17,,,,,0.0,Tavern_district_2,13,2.5,-3,6,2.5,-3,5,32.0,Male,1
57784987,2016-07-20,2016-04-02,,,,,0.0,Tavern_district_3,7,2.5,-3,8,2.5,-3,5,40.0,Male,0
66981475,2016-09-18,2015-11-16,,,,,1.0,Tavern_district_2,7,2.5,-2,14,2.5,-3,5,41.0,Female,0
52197489,2016-06-03,2016-04-27,,,,,0.0,Tavern_district_2,13,2.5,-3,5,3.5,-3,5,27.0,Female,0
24016970,2015-11-13,2015-04-18,,,,,0.0,Tavern_district_4,18,2.5,0,8,2.5,-3,5,35.0,Female,0
61186079,2016-08-18,2016-04-20,3.5,-2.0,5.0,2016-05-20,0.0,Tavern_district_3,13,2.5,-3,9,2.5,-3,5,34.0,Female,0
2572249,2015-11-24,2015-10-19,,,,,0.0,Tavern_district_0,7,2.5,-3,6,2.5,-3,5,31.0,Female,1
65071775,2016-09-09,2015-11-22,3.5,-3.0,5.0,2016-05-19,5.0,Tavern_district_1,27,2.5,-3,16,2.5,-3,5,36.0,Female,0
14078098,2015-07-28,2015-06-22,,,,,0.0,Tavern_district_3,26,2.5,-3,6,2.5,-3,5,22.0,Female,1
24392612,2015-11-15,2015-08-24,,,,,0.0,Tavern_district_3,7,2.5,-3,8,2.5,-3,5,66.0,Female,0
48169354,2016-05-08,2015-09-27,,,,,0.0,Tavern_district_4,7,2.5,-3,12,2.5,-3,5,37.0,Female,0
65330085,2016-09-10,2015-12-25,,,,,3.0,Tavern_district_6,18,2.5,-3,12,2.5,-3,5,39.0,Female,0
58899819,2016-07-30,2016-03-20,,,,,0.0,Tavern_district_3,7,2.5,-3,9,2.5,-3,5,65.0,Female,0
66349360,2016-09-16,2016-06-16,,,,,0.0,Tavern_district_0,7,2.5,-3,5,5.5,-3,5,37.0,Female,0
24070584,2015-11-14,2015-04-18,3.5,-2.0,6.0,2015-06-20,0.0,Tavern_district_3,7,2.5,-3,8,2.5,-3,5,43.0,Female,0
56307223,2016-07-05,2015-12-26,4.5,-1.0,5.0,2016-04-30,2.0,Tavern_district_4,13,2.5,-3,12,4.5,-3,5,41.0,Female,0
38595414,2016-03-15,2015-04-25,,,,,2.0,Tavern_district_1,13,2.5,-2,5,4.5,-3,5,51.0,Female,0
36303062,2016-02-29,2015-10-28,3.5,-2.0,5.0,2016-02-06,3.0,Tavern_district_6,13,2.5,-2,8,3.5,-3,5,31.0,Female,0
44397734,2016-04-16,2015-10-03,5.5,-2.0,6.0,2015-12-06,2.0,Tavern_district_3,7,2.5,-3,10,2.5,-3,5,39.0,Female,0
27075590,2015-12-05,2015-10-11,,,,,0.0,Tavern_district_1,23,3.5,-3,5,2.5,-3,5,43.0,Female,0
67900734,2016-09-23,2015-09-05,3.5,-3.0,5.0,2016-06-06,2.0,Tavern_district_6,7,2.5,-1,16,2.5,-3,5,31.0,Female,0
61144018,2016-08-18,2015-09-15,,,,,0.0,Tavern_district_3,39,2.5,-3,11,2.5,-3,5,48.0,Female,0
6399848,2016-09-02,2016-03-31,,,,,2.0,Tavern_district_4,7,2.5,-3,8,2.5,-3,5,40.0,Male,0
4383816,2016-04-13,2015-04-19,,,,,2.0,Tavern_district_3,7,2.5,-3,12,2.5,-3,5,52.0,Female,0
32499172,2016-01-27,2015-11-25,,,,,0.0,Tavern_district_3,7,2.5,-3,7,2.5,-3,5,62.0,Female,0
64144390,2016-09-03,2015-09-12,,,,,3.0,Tavern_district_4,7,2.5,-3,17,2.5,-3,5,35.0,Female,0
60231838,2016-08-11,2016-03-29,3.5,-2.0,6.0,2016-07-01,0.0,Tavern_district_2,13,2.5,-3,8,2.5,-3,5,50.0,Female,0
63890870,2016-09-02,2016-07-02,,,,,0.0,Tavern_district_3,8,2.5,-3,7,2.5,-3,5,37.0,Female,1
56595283,2016-07-08,2016-05-11,,,,,0.0,Tavern_district_6,13,2.5,-3,6,2.5,-3,5,34.0,Female,0
15247214,2015-08-19,2015-06-13,,,,,0.0,Tavern_district_3,27,2.5,-3,8,2.5,-3,5,60.0,Female,0
24050994,2015-11-14,2015-05-12,,,,,3.0,Tavern_district_3,7,2.5,-3,11,2.5,-3,5,62.0,Female,0
27113173,2015-12-05,2015-08-08,3.5,-3.0,5.0,2015-11-13,0.0,Tavern_district_4,23,2.5,-3,9,2.5,-3,5,30.0,Female,0
65271634,2016-09-10,2016-02-23,,,,,0.0,Tavern_district_6,7,2.5,-3,11,2.5,-3,5,38.0,Female,0
3832299,2016-03-13,2015-10-10,,,,,0.0,Tavern_district_1,15,2.5,-3,5,7.5,-3,5,54.0,Male,0
6539373,2016-09-11,2016-03-13,3.5,-2.0,6.0,2016-06-13,0.0,Tavern_district_3,7,2.5,-3,6,7.5,-3,5,37.0,Male,0
35757848,2016-02-26,2015-04-02,3.5,-2.0,6.0,2015-10-06,5.0,Tavern_district_3,7,2.5,-2,16,2.5,-3,5,26.0,Male,0
3699541,2016-03-05,2016-02-02,,,,,0.0,Tavern_district_3,7,2.5,-3,6,2.5,-3,5,41.0,Female,1
51058411,2016-05-26,2016-05-22,,,,,0.0,Tavern_district_3,7,2.5,-3,5,3.5,-3,5,24.0,Female,0
63014999,2016-08-29,2015-04-19,,,,,2.0,Tavern_district_0,7,2.5,-3,12,2.5,-3,5,64.0,Female,0
41694764,2016-04-01,2015-06-27,,,,,0.0,Tavern_district_3,7,2.5,-3,8,2.5,-3,5,60.0,Female,0
5123927,2016-05-27,2016-04-19,,,,,0.0,Tavern_district_6,39,2.5,-3,6,2.5,-3,5,34.0,Female,0
65087647,2016-09-09,2016-08-03,3.5,-3.0,5.0,2016-09-06,0.0,Tavern_district_4,45,2.5,-2,5,2.5,-3,5,30.0,Female,1
3758405,2016-03-08,2015-09-21,,,,,2.0,Tavern_district_1,23,2.5,0,5,2.5,-3,5,36.0,Female,0
4725122,2016-05-03,2015-12-11,4.5,-2.0,6.0,2016-01-15,0.0,Tavern_district_5,13,2.5,2,5,2.5,-3,5,27.0,Female,0
50814650,2016-05-25,2015-12-02,,,,,0.0,Tavern_district_5,27,2.5,-3,5,7.5,-3,5,30.0,Female,0
39461486,2016-03-20,2015-11-11,,,,,0.0,Tavern_district_3,13,2.5,-3,8,2.5,-3,5,41.0,Male,0
40667328,2016-03-26,2015-10-28,,,,,0.0,Tavern_district_2,13,2.5,-3,10,2.5,-3,5,54.0,Female,0
50229462,2016-05-22,2015-03-21,,,,,3.0,Tavern_district_5,7,2.5,-3,10,2.5,-3,5,41.0,Female,0
60920344,2016-08-16,2016-05-28,,,,,0.0,Tavern_district_3,13,2.5,-3,7,2.5,-3,5,38.0,Female,0
54466491,2016-06-19,2016-03-28,,,,,0.0,Tavern_district_3,8,2.5,-3,8,2.5,-3,5,28.0,Female,0
5011088,2016-05-21,2015-11-07,,,,,1.0,Tavern_district_6,17,2.5,-1,6,2.5,-3,5,46.0,Female,0
32165223,2016-01-23,2015-07-24,,,,,0.0,Tavern_district_1,23,2.5,-3,8,2.5,-3,5,27.0,Female,0
40093723,2016-03-23,2015-08-21,4.5,-2.0,5.0,2015-11-20,1.0,Tavern_district_2,7,2.5,-3,11,5.5,-3,5,28.0,Male,0
40206017,2016-03-24,2015-12-07,3.5,-2.0,6.0,2016-01-15,0.0,Tavern_district_2,13,2.5,-3,5,5.5,-3,5,28.0,Female,0
9235387,2015-04-27,2015-04-02,,,,,0.0,Tavern_district_3,7,2.5,-3,6,2.5,-3,5,34.0,Female,1
41976516,2016-04-03,2016-02-07,,,,,0.0,Tavern_district_3,23,2.5,-3,7,2.5,-3,5,55.0,Female,0
